trdar_cd,district_name,obs_count,avg_closure_rate,high_risk_pct,avg_store_count,avg_sales
3110574,서강대학교,1,2.0,1.0,2.0,15493636.0
3110119,마장지하차도,1,1.0,1.0,4.0,137916376.0
3130187,영진시장,1,0.5,1.0,3.0,167969760.0
3110046,버티고개,2,0.5,1.0,3.0,31517793.0
3130188,합정시장,2,0.5,0.5,2.0,25838246.0
3110629,송정역 4번,7,0.4929,0.4286,5.3,48654473.0
3110928,서초우방유쉘아파트,4,0.4583,0.75,2.5,2560021.0
3110111,대현산장미원,6,0.3056,0.5,2.8,74526274.0
3130085,용두시장,4,0.25,0.5,3.0,101886472.0
3110914,내방역 6번,9,0.2222,0.1111,3.1,16871842.0
3110445,덕산중학교,3,0.1667,0.3333,3.0,3219716.0
3110101,옥정중학교,6,0.1667,0.1667,2.0,10308302.0
3110669,화곡보람2차아파트,37,0.1622,0.2973,3.4,51298824.0
3110103,옥수터널,43,0.1589,0.1395,3.2,16609456.0
3110196,홍릉근린공원,12,0.1528,0.3333,2.5,310643241.0
3130199,신월3동 골목시장,85,0.1416,0.2,3.5,78445784.0
3130011,충신시장,5,0.14,0.6,9.0,61672210.0
3120118,마곡역(마곡),134,0.1346,0.6119,47.0,2392275538.0
3110841,중대부중,18,0.125,0.1667,4.5,45971238.0
3110879,신림현대아파트,134,0.1159,0.1791,3.6,230982570.0
3110935,한전아트센터,13,0.1154,0.2308,3.5,43051736.0
3130189,서교시장,48,0.1128,0.2708,3.4,483059400.0
3110913,방현초등학교(방배119안전센터),217,0.1055,0.1843,5.1,1805808623.0
3110379,KT&G 북부지사,80,0.104,0.1625,4.3,162206728.0
3110880,신림역 1번,63,0.1032,0.127,2.5,393488461.0
3110349,화계역 2번,56,0.1012,0.1964,2.8,60749378.0
3110931,삼성전자서울R&D(서울우면초등학교),28,0.1001,0.6429,11.3,543897093.0
3110361,삼양사거리역 1번,168,0.0994,0.2202,4.4,105228046.0
3130291,봉천제일종합시장,32,0.099,0.2188,2.6,47336090.0
3110889,봉천역 6번,65,0.0985,0.3538,5.1,92558949.0
3110796,한림대학교한강성심병원,35,0.0952,0.1143,2.8,527547387.0
3110454,선정중학교,264,0.0943,0.2159,5.3,173480392.0
3130192,동진시장,51,0.0922,0.1765,3.8,141852389.0
3110132,성수2가3동주민센터,114,0.0916,0.2632,6.4,124615245.0
3110818,신대방역 3번,53,0.0912,0.1321,3.0,122909469.0
3110363,송천동주민센터,71,0.0904,0.1127,2.3,50272541.0
3110070,용산세무서,15,0.0889,0.2,2.9,216310673.0
3110282,국민대학교앞,130,0.0887,0.2154,4.5,116230255.0
3110972,강남세브란스병원미래의학연구센터,91,0.0879,0.1209,1.7,91767141.0
3111090,강일동주민센터,505,0.0864,0.2277,5.4,309782524.0
3110359,수유시장옆,277,0.0864,0.1986,5.7,160252217.0
3110435,서울과학기술대,201,0.0857,0.2438,5.8,227132309.0
3110719,영서중학교,45,0.0852,0.1556,2.8,47142061.0
3110287,정릉3동주민센터,78,0.0848,0.0897,3.2,245387503.0
3110413,누원고등학교,85,0.0835,0.1412,3.6,172946527.0
3130077,조양시장,6,0.0833,0.1667,3.0,65850886.0
3110648,양천향교역 7번,311,0.0833,0.3601,10.0,1098684236.0
3120135,양평역,140,0.083,0.2357,6.4,361316961.0
3110795,도림초등학교,56,0.0824,0.1607,3.3,63555670.0
3110193,고려대역 4번,70,0.0819,0.2286,7.7,261029937.0
3110160,광진경찰서,54,0.0818,0.1296,2.8,76789550.0
3110906,서문여고,60,0.0803,0.2,4.0,94637599.0
3110965,언주역 6번,240,0.0801,0.2208,5.9,94190193.0
3110426,상계2동주민센터,385,0.08,0.3247,8.8,131138672.0
3110276,신내IC북측,17,0.0784,0.1765,3.1,150229649.0
3110285,홍대부중,184,0.0775,0.1576,4.4,156355032.0
3130108,태능엔터피아(태릉시장),49,0.0772,0.1429,3.6,69602080.0
3130232,독산동 맛나는거리상점가(독산동 맛나는거리),197,0.0771,0.264,8.2,570713236.0
3130151,신도봉시장,60,0.0767,0.1667,3.7,302618048.0
3110945,본마을노인복지센터(서초구립내곡도서관),24,0.0764,0.125,2.8,60691119.0
3110284,정릉북한산국립공원입구,22,0.0758,0.1818,3.3,134011228.0
3110354,삼각산119안전센터,110,0.0754,0.2091,4.7,244281914.0
3130107,중랑동부시장(중랑교종합상가),79,0.0745,0.1899,8.6,164975199.0
3110266,면목동우체국,398,0.0744,0.201,5.6,109559169.0
3110967,역삼역 8번,261,0.0744,0.1801,4.0,152986980.0
3110534,경기대학교,56,0.0732,0.1429,3.4,42331161.0
3110168,대원고등학교,200,0.0731,0.21,5.2,156087707.0
3110901,인헌고등학교(인헌중학교),272,0.0731,0.2096,4.9,250907443.0
3110716,구로나눔길,264,0.0728,0.2197,7.4,341715246.0
3110514,서대문우체국,113,0.0728,0.177,3.2,85312784.0
3111000,대왕초등학교(세곡동사거리서남측),115,0.0726,0.1826,5.1,292069681.0
3110183,한국의류시험연구원,97,0.0726,0.268,8.8,217979455.0
3110201,전농119안전센터,34,0.0725,0.2059,4.9,188690589.0
3110224,외대앞역 2번,128,0.0725,0.2188,6.6,296098890.0
3110580,양원초등학교,103,0.0723,0.1262,4.1,83427199.0
3110812,신길6동주민센터,250,0.0722,0.156,5.8,616278116.0
3110173,구남초등학교,165,0.0718,0.1697,4.2,166979521.0
3110573,신촌역 6번,72,0.0718,0.1389,2.8,61000994.0
3110148,어린이대공원역 3번,177,0.0717,0.2429,7.2,227663200.0
3111087,고덕중학교(고덕2동주민센터),247,0.0717,0.2024,4.2,187236399.0
3130285,서원동상점가,612,0.0716,0.3382,14.2,1113443123.0
3110424,상계초등학교,414,0.0716,0.2633,7.1,492039478.0
3111018,풍납초등학교(풍납백제문화공원),7,0.0714,0.1429,3.0,6868108.0
3110999,윗방죽마을공원,255,0.0714,0.1961,3.9,319825444.0
3110961,언주역 3번,229,0.0713,0.2445,6.1,421093055.0
3110706,그라운드 고척,515,0.071,0.2563,6.1,398710829.0
3111058,성내중학교,129,0.0709,0.155,3.5,74661406.0
3110639,신방화역 8번,181,0.0708,0.2155,5.3,141445649.0
3110709,구로119안전센터,194,0.0705,0.232,6.5,126994123.0
3110257,상봉역 7번,137,0.0703,0.219,6.4,47373804.0
3110688,오류지구대,102,0.0702,0.1961,5.5,221841631.0
3130163,응암오거리상점가,472,0.07,0.2691,9.6,607078137.0
3110868,남부초등학교,161,0.0698,0.2298,7.1,179369245.0
3110724,금천구립가산도서관,111,0.0691,0.2432,4.6,198337653.0
3110270,혜원여고,159,0.0691,0.1887,4.2,166211254.0
3110751,난곡중학교,208,0.069,0.2356,5.7,137228137.0
3110883,은천초등학교(은천교앞),574,0.069,0.2282,6.0,348590519.0
3110037,신설동역 12번,178,0.069,0.2191,6.6,86064805.0
3110250,화랑대역 7번,126,0.0689,0.1508,4.3,141304288.0
3110121,한양대역 4번,62,0.0686,0.2258,4.9,231509161.0
3110178,장로회신학대학교,152,0.0685,0.1645,5.4,72612258.0
3110378,송중동주민센터,307,0.0684,0.1629,4.4,146099837.0
3110045,동대문역사문화공원역 5번,237,0.0684,0.1772,6.9,437814617.0
3110092,NH농협은행 보광동지점,301,0.0681,0.1595,5.1,168158958.0
3110013,체부동홍종문가옥,23,0.0681,0.1304,4.6,26729530.0
3110023,서울대병원,77,0.068,0.2208,5.2,356607194.0
3110652,양천향교역 2번,141,0.0675,0.2057,6.3,279441775.0
3110592,서울금융고등학교,46,0.0674,0.2391,5.8,204452321.0
3110432,대진고등학교,267,0.0673,0.1685,5.1,183204281.0
3110686,수궁동주민센터,457,0.067,0.2013,4.8,178302960.0
3111043,마천공원,81,0.0669,0.0864,2.8,114436641.0
3110427,노원 을지대학교병원,15,0.0667,0.1333,3.0,20881386.0
