quarter,obs_count,avg_closure_rate,high_risk_pct,avg_sales,avg_foot_traffic
20191,19048,0.0446,0.2622,906645803.0,1460666.0
20192,19294,0.0442,0.2588,904390207.0,1415840.0
20193,19455,0.0426,0.2496,907770149.0,1415828.0
20194,19687,0.0469,0.2746,987846456.0,1447576.0
20201,19676,0.036,0.22,863663251.0,1400835.0
20202,19928,0.0409,0.2418,918458365.0,1368256.0
20203,20096,0.0404,0.239,899902620.0,1343756.0
20204,20191,0.0366,0.2234,914895794.0,1322005.0
20211,21968,0.0454,0.2454,881257694.0,1310071.0
20212,22050,0.0405,0.2197,936536406.0,1318968.0
20213,21957,0.0408,0.2239,923044523.0,1280595.0
20214,22078,0.0338,0.1952,1023105778.0,1311414.0
20221,21995,0.0304,0.175,895955420.0,1302117.0
20222,21980,0.0492,0.2555,1009329172.0,1344278.0
20223,21854,0.0401,0.2234,1008060937.0,1313075.0
20224,21941,0.0466,0.2501,1060826589.0,1325428.0
20231,21836,0.0461,0.2409,1045049632.0,1327702.0
20232,21821,0.0443,0.2456,1027204023.0,1316293.0
20233,21769,0.0412,0.2253,1029043410.0,1301513.0
20234,21778,0.0486,0.2574,1107781563.0,1321675.0
20241,21631,0.0461,0.2449,1062918388.0,1322372.0
20242,21611,0.0468,0.2422,1061940567.0,1303720.0
20243,21456,0.0418,0.2251,1060053478.0,1283733.0
20244,21398,0.0443,0.2402,1109691344.0,1300226.0
20251,21160,0.041,0.2273,1052966528.0,1288778.0
20252,21184,0.0414,0.2286,1063229700.0,1284566.0
20253,21247,0.0402,0.2146,1088545344.0,1283729.0
